[2025-06-01 01:25:52.460] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:25:52.672] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:25:52.674] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:25:52.885] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:25:52.887] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:25:53.098] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:25:55.316] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:25:55.332] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601012548-0001.html
[2025-06-01 01:26:16.921] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:26:17.132] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:26:17.143] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:26:17.354] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:26:17.356] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:26:17.568] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:26:19.796] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:26:19.802] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601012612-0002.html
[2025-06-01 01:27:29.494] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:27:29.705] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:27:29.709] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:27:29.920] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:27:29.923] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:27:30.137] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:27:30.141] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:31.142] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:32.143] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:33.144] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:34.145] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:35.146] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:36.147] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:37.148] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:38.149] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:39.150] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:40.161] [System                      ] [DEBUG] Archivo JSON 'decision_EVT-SEL-20250601012729-0001.json' leído de 'data_dashboard'.
[2025-06-01 01:27:40.165] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' escrito en 'data'.
[2025-06-01 01:27:40.377] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:27:40.396] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601012729-0001.html
[2025-06-01 01:27:56.588] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:27:56.801] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:27:56.804] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:27:57.014] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:27:57.016] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:27:57.227] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:27:57.233] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:58.234] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:27:59.235] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:00.236] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:01.238] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:02.239] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:03.240] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:04.242] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:05.244] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:06.245] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:07.246] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:08.248] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:09.248] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:10.250] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:11.251] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:12.260] [System                      ] [DEBUG] Archivo JSON 'decision_EVT-SEL-20250601012756-0002.json' leído de 'data_dashboard'.
[2025-06-01 01:28:12.264] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' escrito en 'data'.
[2025-06-01 01:28:12.476] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:28:12.487] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601012756-0002.html
[2025-06-01 01:28:26.682] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:28:26.898] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:28:26.902] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:28:27.114] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:28:27.116] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:28:27.331] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:28:27.336] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:28.337] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:29.339] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:30.340] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:31.341] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:32.342] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:33.343] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:34.344] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:35.345] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:36.347] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:37.348] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:38.349] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:39.350] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:40.351] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:41.353] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:42.354] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:43.365] [System                      ] [DEBUG] Archivo JSON 'decision_EVT-SEL-20250601012826-0003.json' leído de 'data_dashboard'.
[2025-06-01 01:28:43.369] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' escrito en 'data'.
[2025-06-01 01:28:43.582] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:28:43.592] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601012826-0003.html
[2025-06-01 01:28:56.786] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:28:56.996] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:28:56.999] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:28:57.211] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:28:57.213] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:28:57.424] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:28:57.428] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:28:58.430] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
